Estimador	Caractere
ExtraTreesClassifier	a
RandomForestClassifier	b
DecisionTreeClassifier	c
AdaBoostClassifier	d
GradientBoostingClassifier	e
SMOTE__ExtraTreesClassifier	f
SMOTE__RandomForestClassifier	g
SMOTE__DecisionTreeClassifier	h
SMOTE__AdaBoostClassifier	i
SMOTE__GradientBoostingClassifier	j
BorderlineSMOTE__ExtraTreesClassifier	k
BorderlineSMOTE__RandomForestClassifier	l
BorderlineSMOTE__DecisionTreeClassifier	m
BorderlineSMOTE__AdaBoostClassifier	n
BorderlineSMOTE__GradientBoostingClassifier	o
ClusterCentroids__ExtraTreesClassifier	p
ClusterCentroids__RandomForestClassifier	q
ClusterCentroids__DecisionTreeClassifier	r
ClusterCentroids__AdaBoostClassifier	s
ClusterCentroids__GradientBoostingClassifier	t
NearMiss__ExtraTreesClassifier	u
NearMiss__RandomForestClassifier	v
NearMiss__DecisionTreeClassifier	w
NearMiss__AdaBoostClassifier	x
NearMiss__GradientBoostingClassifier	y
